dataset,nu,auc,n_support,fit_time_s
tic_tac_toe_negative_54_variant1,0.2,1.0,295,0.09
tic_tac_toe_negative_54_variant1,0.3,1.0,289,0.08
tic_tac_toe_negative_54_variant1,0.5,0.910957,370,0.09
tic_tac_toe_negative_69_variant1,0.01,1.0,223,0.06
tic_tac_toe_negative_69_variant1,0.05,1.0,282,0.1
tic_tac_toe_negative_69_variant1,0.1,1.0,291,0.1
tic_tac_toe_negative_69_variant1,0.2,1.0,295,0.09
tic_tac_toe_negative_69_variant1,0.3,1.0,289,0.09
tic_tac_toe_negative_69_variant1,0.5,0.919966,370,0.1
vertebral,0.01,0.579206,3,0.0
vertebral,0.05,0.451587,12,0.0
vertebral,0.1,0.429524,22,0.0
vertebral,0.2,0.420794,44,0.01
vertebral,0.3,0.433651,65,0.01
vertebral,0.5,0.411111,106,0.01
vote_republican_29_variant1,0.01,0.991993,29,0.01
vote_republican_29_variant1,0.05,0.990701,30,0.01
vote_republican_29_variant1,0.1,0.996126,40,0.01
vote_republican_29_variant1,0.2,0.997934,63,0.01
vote_republican_29_variant1,0.3,0.998063,85,0.01
vote_republican_29_variant1,0.5,0.996642,140,0.02
vowels,0.01,0.612077,17,0.01
vowels,0.05,0.585192,75,0.05
vowels,0.1,0.577098,143,0.08
vowels,0.2,0.55724,283,0.15
vowels,0.3,0.559758,424,0.2
vowels,0.5,0.570541,705,0.35
waveform_0_100_variant1,0.01,0.357876,38,0.05
waveform_0_100_variant1,0.05,0.376392,171,0.22
waveform_0_100_variant1,0.1,0.402776,336,0.47
waveform_0_100_variant1,0.2,0.436617,671,1.05
waveform_0_100_variant1,0.3,0.477568,1007,1.35
waveform_0_100_variant1,0.5,0.555537,1673,2.08
wbc_malignant_39_variant1,0.01,0.955301,7,0.0
wbc_malignant_39_variant1,0.05,0.996188,23,0.01
wbc_malignant_39_variant1,0.1,0.996766,46,0.01
wbc_malignant_39_variant1,0.2,0.996766,90,0.02
wbc_malignant_39_variant1,0.3,0.996881,134,0.02
wbc_malignant_39_variant1,0.5,0.996881,222,0.04
wdbc_M_39_variant1,0.01,0.998994,5,0.0
wdbc_M_39_variant1,0.05,0.997486,19,0.01
wdbc_M_39_variant1,0.1,0.997414,38,0.01
wdbc_M_39_variant1,0.2,0.99684,73,0.01
wdbc_M_39_variant1,0.3,0.996696,108,0.02
wdbc_M_39_variant1,0.5,0.99605,181,0.03
wine,0.01,0.762185,6,0.0
wine,0.05,0.668067,10,0.0
wine,0.1,0.736975,15,0.0
wine,0.2,0.755462,26,0.0
wine,0.3,0.776471,38,0.0
wine,0.5,0.812605,61,0.0
wpbc_variant1,0.01,0.447372,6,0.0
wpbc_variant1,0.05,0.447654,11,0.0
wpbc_variant1,0.1,0.438495,17,0.0
wpbc_variant1,0.2,0.460054,32,0.0
wpbc_variant1,0.3,0.48288,47,0.01
wpbc_variant1,0.5,0.503452,76,0.01
yeast_ERL_5_variant1,0.01,0.998415,16,0.01
yeast_ERL_5_variant1,0.05,1.0,59,0.03
yeast_ERL_5_variant1,0.1,1.0,115,0.05
yeast_ERL_5_variant1,0.2,1.0,228,0.09
yeast_ERL_5_variant1,0.3,1.0,341,0.14
yeast_ERL_5_variant1,0.5,1.0,568,0.25
zoo_variant1,0.01,0.463585,17,0.0
zoo_variant1,0.05,0.463585,17,0.0
zoo_variant1,0.1,0.463585,18,0.0
zoo_variant1,0.2,0.591036,23,0.01
zoo_variant1,0.3,0.594538,30,0.0
zoo_variant1,0.5,0.589636,45,0.0
